% 1. Title: Fire Detection 
% 2. Relevant Information:
%
%	 This data is about texture and distribution of colors in images from 
%	 fire in coniferous forest taken in day.
%
%      This data set includes WRITE-NUMBER!!! instances of the class "fire" 
%      and WRITE-NUMBER!!! instances of "nofire" class, and WRITE-NUMBER!!! instances of "smoke" class 
%      The instances are described by 12 attributes.
%  
% 
% 3. Number of Instances: WRITE NUMBER!!!!!!!
% 
% 4. Number of Attributes: 11  + the class attribute
% 
% 5. For Each Attribute:
%   1. Average value of red color (numeric)
%   2. Average value of green color (numeric)
%   3. Average value of blue color (numeric)
%   4. Standard Deviation value of red color (numeric)
%   5. Standard Deviation value of green color (numeric)
%   6. Standard Deviation value of blue color (numeric)
%   7. Energy value of the picture converted to gray-scale (numeric)
%   8. Homogeneity value of the picture converted to gray-scale (numeric)
%   9. Contrast value of the picture converted to gray-scale (numeric)
%   10. Dissimilarity value of the picture converted to gray-scale (numeric)
%   11. Correlation value of the picture converted to gray-scale (numeric)
%   12. Class variable (fire, no_fire, smoke)
%
% 6. Missing Attribute Values: None
%
% 7. Class Distribution: (class value 0 as "no_fire", 1 is interpreted as "fire"
%    and value 2 as "smoke" )
%    Class Value  Number of instances
%    0            
%    1            
%    2
%
@relation fire-detection 
@attribute meanr numeric
@attribute meang numeric
@attribute meanb numeric
@attribute std-devr numeric
@attribute std-devg numeric
@attribute std-devb numeric
@attribute energy numeric
@attribute homogeneity numeric
@attribute contrast numeric
@attribute dissimilarity numeric
@attribute correlation numeric
@attribute 'class' {fire, no_fire, smoke}
@data
96.1844,100.845,84.6667,47.0879,47.9311,53.287,0.1627,0.6152,1.5334,0.8929,0.9157,no_fire
232.5044,219.7989,201.3456,4.9929,8.7692,9.5498,0.6756,0.9855,0.0289,0.0289,0.9517,smoke
138.6939,133.6706,119.7889,53.6824,56.6343,62.6863,0.1142,0.436,5.4694,1.7506,0.7794,no_fire
177.7128,126.2161,142.84,22.5023,11.0684,13.3601,0.6256,0.9394,0.1253,0.1219,0.8934,smoke
140.1011,129.2172,127.0039,41.2434,45.1108,42.5954,0.2313,0.8285,0.3866,0.3503,0.975,smoke
236.585,228.9983,221.0422,6.7471,8.0098,9.33,0.6946,0.9727,0.072,0.0573,0.8825,smoke
226.9111,103.3622,17.0089,20.8648,20.1746,10.8591,0.3963,0.8792,0.4552,0.2749,0.8226,fire
163.0794,112.0394,76.1283,51.4078,31.1048,26.2613,0.1657,0.5361,2.7704,1.2115,0.6706,fire
177.2456,178.2483,171.9994,7.5218,7.5256,8.2671,0.6678,0.9377,0.2789,0.1485,0.5764,smoke
125.9839,80.0956,67.7211,59.7753,53.8814,48.6189,0.1045,0.3536,10.6315,2.4388,0.5338,fire
26.4672,26.375,24.8294,17.777,16.8834,15.032,0.3671,0.7663,0.8673,0.5317,0.6094,no_fire
178.9906,67.0767,26.3156,49.8325,20.967,19.3208,0.2648,0.6784,1.3997,0.7647,0.6989,fire
148.1239,125.165,83.2372,35.9594,27.2417,26.5754,0.2628,0.7359,1.0244,0.6083,0.8277,no_fire
